noun_right,1,,,,,,,
,,,,,,,,
Count of state,Column Labels,,,,,,,
,state_A,,state_A Total,state_B,,state_B Total,Grand Total,
Row Labels,singleton,pair,,singleton,pair,,,
1,,,,,,,,1
belt_closed.jpg,,,,,,,,1
belt_open.jpg,,,,,,,,1
2,,,,,,,,1
watch_closed.jpg,,,,,,,,1
watch_open.jpg,,,,,,,,1
3,1,,1,,,,1,0
seatbelt_closed.jpg,,,,,,,,1
seatbelt_open.jpg,1,,1,,,,1,0
4,1,,1,,,,1,0
book_closed.jpg,,,,,,,,1
book_open.jpg,1,,1,,,,1,0
5,1,,1,,,,1,0
milkcarton_closed.jpg,,,,,,,,1
milkcarton_open.jpg,1,,1,,,,1,0
6,,,,,,,,1
accordion_closed.jpg,,,,,,,,1
accordion_open.jpg,,,,,,,,1
7,,,,,,,,1
toothpaste_closed.jpg,,,,,,,,1
toothpaste_open.jpg,,,,,,,,1
8,,,,,,,,1
canopener_closed.jpg,,,,,,,,1
canopener_open.jpg,,,,,,,,1
9,4,1,5,,,,5,0
can_closed.jpg,,,,,,,,1
can_open.jpg,4,1,5,,,,5,0
10,3,,3,,,,3,0
backpack_closed.jpg,,,,,,,,1
backpack_open.jpg,3,,3,,,,3,0
11,1,,1,,,,1,0
waterbottle_closed.jpg,,,,,,,,1
waterbottle_open.jpg,1,,1,,,,1,0
12,1,,1,,,,1,0
cabinet_closed.jpg,,,,,,,,1
cabinet_open.jpg,1,,1,,,,1,0
13,,,,,,,,1
dryer_closed.jpg,,,,,,,,1
dryer_open.jpg,,,,,,,,1
14,1,,1,,,,1,0
dishwasher_closed.jpg,,,,,,,,1
dishwasher_open.jpg,1,,1,,,,1,0
15,1,,1,,,,1,0
binder_closed.jpg,,,,,,,,1
binder_open.jpg,1,,1,,,,1,0
16,1,2,3,,,,3,0
stapler_closed.jpg,,,,,,,,1
stapler_open.jpg,1,2,3,,,,3,0
17,3,2,5,,,,5,0
door_closed.jpg,,,,,,,,1
door_open.jpg,3,2,5,,,,5,0
18,2,,2,,,,2,0
chestofdrawers_closed.jpg,,,,,,,,1
chestofdrawers_open.jpg,2,,2,,,,2,0
19,1,,1,,,,1,0
filefolder_closed.jpg,,,,,,,,1
filefolder_open.jpg,1,,1,,,,1,0
20,1,2,3,,,,3,0
fridge_closed.jpg,,,,,,,,1
fridge_open.jpg,1,2,3,,,,3,0
21,,,,,,,,1
cellphone_closed.jpg,,,,,,,,1
cellphone_open.jpg,,,,,,,,1
22,2,,2,,,,2,0
juicebottle_closed.jpg,,,,,,,,1
juicebottle_open.jpg,2,,2,,,,2,0
23,3,,3,,,,3,0
gate_closed.jpg,,,,,,,,1
gate_open.jpg,3,,3,,,,3,0
24,2,2,4,,,,4,0
lock_closed.jpg,,,,,,,,1
lock_open.jpg,2,2,4,,,,4,0
25,,,,,,,,1
mailbox_closed.jpg,,,,,,,,1
mailbox_open.jpg,,,,,,,,1
26,1,,1,,,,1,0
teapot_closed.jpg,,,,,,,,1
teapot_open.jpg,1,,1,,,,1,0
27,1,,1,,,,1,0
microwave_closed.jpg,,,,,,,,1
microwave_open.jpg,1,,1,,,,1,0
28,1,,1,,,,1,0
cdplayer_closed.jpg,,,,,,,,1
cdplayer_open.jpg,1,,1,,,,1,0
29,6,2,8,,,,8,0
pizzabox_closed.jpg,,,,,,,,1
pizzabox_open.jpg,6,2,8,,,,8,0
30,1,1,2,,,,2,0
wallet_closed.jpg,,,,,,,,1
wallet_open.jpg,1,1,2,,,,2,0
31,2,,2,,,,2,0
suitcase_closed.jpg,,,,,,,,1
suitcase_open.jpg,2,,2,,,,2,0
32,,,,,,,,1
washingmachine_closed.jpg,,,,,,,,1
washingmachine_open.jpg,,,,,,,,1
33,,,,,,,,1
tent_closed.jpg,,,,,,,,1
tent_open.jpg,,,,,,,,1
34,,,,,,,,1
scanner_closed.jpg,,,,,,,,1
scanner_open.jpg,,,,,,,,1
35,1,,1,,,,1,0
chapstick_closed.jpg,,,,,,,,1
chapstick_open.jpg,1,,1,,,,1,0
36,,,,,,,,1
fan_closed.jpg,,,,,,,,1
fan_open.jpg,,,,,,,,1
37,,,,1,,1,1,0
laptop_closed.jpg,,,,1,,1,1,0
laptop_open.jpg,,,,,,,,1
38,1,,1,,,,1,0
marker_closed.jpg,,,,,,,,1
marker_open.jpg,1,,1,,,,1,0
39,,,,,,,,1
piano_closed.jpg,,,,,,,,1
piano_open.jpg,,,,,,,,1
40,,1,1,,,,1,0
scissors_closed.jpg,,,,,,,,1
scissors_open.jpg,,1,1,,,,1,0
41,,,,,,,,1
umbrella_closed.jpg,,,,,,,,1
umbrella_open.jpg,,,,,,,,1
42,2,,2,,,,2,0
box_closed.jpg,,,,,,,,1
box_open.jpg,2,,2,,,,2,0
43,,,,,1,1,1,0
curtains_closed.jpg,,,,,1,1,1,0
curtains_open.jpg,,,,,,,,1
44,,,,1,2,3,3,0
eye_closed.jpg,,,,1,2,3,3,0
eye_open.jpg,,,,,,,,1
45,,,,,1,1,1,0
bag_closed.jpg,,,,,1,1,1,0
bag_open.jpg,,,,,,,,1
46,,,,,,,,1
cooler_closed.jpg,,,,,,,,1
cooler_open.jpg,,,,,,,,1
47,,,,,1,1,1,0
takeoutcontainer_closed.jpg,,,,,1,1,1,0
takeoutcontainer_open.jpg,,,,,,,,1
48,2,,2,,,,2,0
treasurechest_closed.jpg,,,,,,,,1
treasurechest_open.jpg,2,,2,,,,2,0
49,1,,1,,,,1,0
shampoo_closed.jpg,,,,,,,,1
shampoo_open.jpg,1,,1,,,,1,0
50,2,2,4,,,,4,0
pot_closed.jpg,,,,,,,,79
pot_open.jpg,2,2,4,,,,4,
51,3,,3,,,,3,
pizza_sliced.jpg,3,,3,,,,3,
pizza_unsliced.jpg,,,,,,,,
52,4,5,9,,,,9,
kiwi_sliced.jpg,4,5,9,,,,9,
kiwi_unsliced.jpg,,,,,,,,
53,1,3,4,,,,4,
lime_sliced.jpg,1,3,4,,,,4,
lime_unsliced.jpg,,,,,,,,
54,6,5,11,,,,11,
pickle_sliced.jpg,6,5,11,,,,11,
pickle_unsliced.jpg,,,,,,,,
55,4,4,8,,,,8,
watermelon_sliced.jpg,4,4,8,,,,8,
watermelon_unsliced.jpg,,,,,,,,
56,3,4,7,,,,7,
salami_sliced.jpg,3,4,7,,,,7,
salami_unsliced.jpg,,,,,,,,
57,1,3,4,,,,4,
pineapple_sliced.jpg,1,3,4,,,,4,
pineapple_unsliced.jpg,,,,,,,,
58,7,1,8,,,,8,
bread_sliced.jpg,7,1,8,,,,8,
bread_unsliced.jpg,,,,,,,,
59,4,5,9,,,,9,
apple_sliced.jpg,4,5,9,,,,9,
apple_unsliced.jpg,,,,,,,,
60,,,,,,,,
corn_peeled.jpg,,,,,,,,
corn_unpeeled.jpg,,,,,,,,
61,1,1,2,,,,2,
garlic_peeled.jpg,1,1,2,,,,2,
garlic_unpeeled.jpg,,,,,,,,
62,5,3,8,,,,8,
banana_peeled.jpg,5,3,8,,,,8,
banana_unpeeled.jpg,,,,,,,,
63,,1,1,,,,1,
carrot_peeled.jpg,,1,1,,,,1,
carrot_unpeeled.jpg,,,,,,,,
64,2,5,7,,,,7,
orange_peeled.jpg,2,5,7,,,,7,
orange_unpeeled.jpg,,,,,,,,
65,2,1,3,,,,3,
onion_peeled.jpg,2,1,3,,,,3,
onion_unpeeled.jpg,,,,,,,,
66,1,1,2,,,,2,
blanket_folded.jpg,1,1,2,,,,2,
blanket_unfolded.jpg,,,,,,,,
67,,,,,,,,
theaterseats_folded.jpg,,,,,,,,
theaterseats_unfolded.jpg,,,,,,,,
68,1,2,3,,,,3,
paper_folded.jpg,1,2,3,,,,3,
paper_unfolded.jpg,,,,,,,,
69,,2,2,,,,2,
sweater_folded.jpg,,2,2,,,,2,
sweater_unfolded.jpg,,,,,,,,
70,5,1,6,1,,1,7,
napkin_folded.jpg,5,1,6,,,,6,
napkin_unfolded.jpg,,,,1,,1,1,
71,2,,2,1,,1,3,
towel_folded.jpg,2,,2,,,,2,
towel_unfolded.jpg,,,,1,,1,1,
72,2,1,3,,,,3,
ladder_folded.jpg,2,1,3,,,,3,
ladder_unfolded.jpg,,,,,,,,
73,6,6,12,1,1,2,14,
lawnchair_folded.jpg,6,6,12,,,,12,
lawnchair_unfolded.jpg,,,,1,1,2,2,
74,,,,,,,,
tie_tied.jpg,,,,,,,,
tie_untied.jpg,,,,,,,,
75,2,1,3,,,,3,
shoelace_tied.jpg,2,1,3,,,,3,
shoelace_untied.jpg,,,,,,,,
76,3,6,9,,,,9,
rug_rolled.jpg,3,6,9,,,,9,
rug_unrolled.jpg,,,,,,,,
77,2,2,4,,,,4,
bill_rolled.jpg,2,2,4,,,,4,
bill_unrolled.jpg,,,,,,,,
78,4,3,7,,,,7,
sleepingbag_rolled.jpg,4,3,7,,,,7,
sleepingbag_unrolled.jpg,,,,,,,,
79,1,,1,,,,1,
yogamat_rolled.jpg,1,,1,,,,1,
yogamat_unrolled.jpg,,,,,,,,
80,1,1,2,,,,2,
straw_bent.jpg,1,1,2,,,,2,
straw_straight.jpg,,,,,,,,
81,,,,,,,,
lamp_bent.jpg,,,,,,,,
lamp_straight.jpg,,,,,,,,
82,1,,1,,,,1,
waterpipe_bent.jpg,1,,1,,,,1,
waterpipe_straight.jpg,,,,,,,,
83,,,,,,,,
pipecleaner_bent.jpg,,,,,,,,
pipecleaner_straight.jpg,,,,,,,,
84,2,3,5,,,,5,
safetypin_bent.jpg,2,3,5,,,,5,
safetypin_straight.jpg,,,,,,,,
85,5,4,9,,,,9,
nail_bent.jpg,5,4,9,,,,9,
nail_straight.jpg,,,,,,,,
86,1,,1,,,,1,
tree_bent.jpg,1,,1,,,,1,
tree_straight.jpg,,,,,,,,
87,4,2,6,,,,6,
paperclip_bent.jpg,4,2,6,,,,6,
paperclip_straight.jpg,,,,,,,,
88,,,,,,,,
tweezers_bent.jpg,,,,,,,,
tweezers_straight.jpg,,,,,,,,
89,,,,,,,,
licorice_bent.jpg,,,,,,,,
licorice_straight.jpg,,,,,,,,
90,1,,1,,,,1,
dumbbell_curved.jpg,1,,1,,,,1,
dumbbell_straight.jpg,,,,,,,,
91,,,,,,,,
traintrack_curved.jpg,,,,,,,,
traintrack_straight.jpg,,,,,,,,
92,,1,1,,,,1,
magnet_bent.jpg,,1,1,,,,1,
magnet_straight.jpg,,,,,,,,
93,,,,,,,,
smokingpipe_curved.jpg,,,,,,,,
smokingpipe_straight.jpg,,,,,,,,
94,3,2,5,,,,5,
road_curved.jpg,3,2,5,,,,5,
road_straight.jpg,,,,,,,,
95,,,,,,,,
slide_curved.jpg,,,,,,,,
slide_straight.jpg,,,,,,,,
96,,,,,,,,
highheel_curved.jpg,,,,,,,,
highheel_straight.jpg,,,,,,,,
97,,1,1,,,,1,
staircase_curved.jpg,,1,1,,,,1,
staircase_straight.jpg,,,,,,,,
98,5,1,6,,,,6,
boot_clean.jpg,,,,,,,,
boot_dirty.jpg,5,1,6,,,,6,
99,4,3,7,1,,1,8,
dish_clean.jpg,,,,1,,1,1,
dish_dirty.jpg,4,3,7,,,,7,
100,3,2,5,,,,5,
car_clean.jpg,,,,,,,,
car_dirty.jpg,3,2,5,,,,5,
101,,,,,,,,
sock_clean.jpg,,,,,,,,
sock_dirty.jpg,,,,,,,,
102,,,,,,,,
broom_clean.jpg,,,,,,,,
broom_dirty.jpg,,,,,,,,
103,,,,,,,,
duster_clean.jpg,,,,,,,,
duster_dirty.jpg,,,,,,,,
104,3,4,7,,,,7,
gloves_clean.jpg,,,,,,,,
gloves_dirty.jpg,3,4,7,,,,7,
105,,,,,,,,
chalkboard_clean.jpg,,,,,,,,
chalkboard_dirty.jpg,,,,,,,,
106,3,4,7,,,,7,
spoon_clean.jpg,,,,,,,,
spoon_dirty.jpg,3,4,7,,,,7,
107,,,,2,,2,2,
coffeepot_clean.jpg,,,,2,,2,2,
coffeepot_dirty.jpg,,,,,,,,
108,3,5,8,,,,8,
stovetop_clean.jpg,,,,,,,,
stovetop_dirty.jpg,3,5,8,,,,8,
109,,2,2,,1,1,3,
bucket_clean.jpg,,,,,1,1,1,
bucket_dirty.jpg,,2,2,,,,2,
110,4,,4,,,,4,
shoe_clean.jpg,,,,,,,,
shoe_dirty.jpg,4,,4,,,,4,
111,1,,1,,,,1,
cup_clean.jpg,,,,,,,,
cup_dirty.jpg,1,,1,,,,1,
112,3,6,9,,1,1,10,
hands_clean.jpg,,,,,1,1,1,
hands_dirty.jpg,3,6,9,,,,9,
113,1,,1,,,,1,
soccerball_clean.jpg,,,,,,,,
soccerball_dirty.jpg,1,,1,,,,1,
114,1,1,2,,,,2,
potato_clean.jpg,,,,,,,,
potato_dirty.jpg,1,1,2,,,,2,
115,2,,2,,,,2,
couch_clean.jpg,,,,,,,,
couch_dirty.jpg,2,,2,,,,2,
116,3,1,4,,,,4,
pig_clean.jpg,,,,,,,,
pig_dirty.jpg,3,1,4,,,,4,
117,1,2,3,,,,3,
sponge_dry.jpg,,,,,,,,
sponge_wet.jpg,1,2,3,,,,3,
118,,,,,,,,
shower_dry.jpg,,,,,,,,
shower_wet.jpg,,,,,,,,
119,,,,,,,,
tomato_dry.jpg,,,,,,,,
tomato_wet.jpg,,,,,,,,
