,object,image,state,adj
0,juicebottle,juicebottle_open.jpg,a,open
1,hamper,hamper_full.jpg,b,full
2,juicebottle,juicebottle_closed.jpg,b,closed
3,sugarpacket,sugarpacket_ripped.jpg,a,ripped
4,pencil,pencil_broken.jpg,a,broken
5,cigarette,cigarette_broken.jpg,a,broken
6,tire,tire_broken.jpg,a,broken
7,cracker,cracker_broken.jpg,a,broken
8,naan,naan_ripped.jpg,a,ripped
9,fridge,fridge_closed.jpg,b,closed
10,chestofdrawers,chestofdrawers_closed.jpg,b,closed
11,door,door_closed.jpg,b,closed
12,filefolder,filefolder_closed.jpg,b,closed
13,notepad,notepad_ripped.jpg,a,ripped
14,envelope,envelope_whole.jpg,b,whole
15,chipbag,chipbag_whole.jpg,b,whole
16,naan,naan_whole.jpg,b,whole
17,jar,jar_full.jpg,b,full
18,bucket,bucket_clean.jpg,b,clean
19,stovetop,stovetop_clean.jpg,b,clean
20,lock,lock_closed.jpg,b,closed
21,cdplayer,cdplayer_closed.jpg,b,closed
22,sugarpacket,sugarpacket_whole.jpg,b,whole
23,mirror,mirror_whole.jpg,b,whole
24,chocolatebar,chocolatebar_whole.jpg,b,whole
25,chipbag,chipbag_ripped.jpg,a,ripped
26,cookie,cookie_whole.jpg,b,whole
27,pig,pig_clean.jpg,b,clean
28,table,table_broken.jpg,a,broken
29,plate,plate_broken.jpg,a,broken
30,notepad,notepad_whole.jpg,b,whole
31,fence,fence_whole.jpg,b,whole
32,piggybank,piggybank_whole.jpg,b,whole
33,dish,dish_clean.jpg,b,clean
34,kiwi,kiwi_unsliced.jpg,b,unsliced
35,lime,lime_unsliced.jpg,b,unsliced
36,cigarette,cigarette_whole.jpg,b,whole
37,couch,couch_clean.jpg,b,clean
38,soccerball,soccerball_clean.jpg,b,clean
39,cookie,cookie_broken.jpg,a,broken
40,pig,pig_dirty.jpg,a,dirty
41,napkin,napkin_folded.jpg,a,folded
42,pencil,pencil_whole.jpg,b,whole
43,plate,plate_whole.jpg,b,whole
44,gloves,gloves_clean.jpg,b,clean
45,boot,boot_clean.jpg,b,clean
46,staircase,staircase_straight.jpg,b,straight
47,salami,salami_unsliced.jpg,b,unsliced
48,road,road_straight.jpg,b,straight
49,magnet,magnet_straight.jpg,b,straight
50,garlic,garlic_unpeeled.jpg,b,unpeeled
51,straw,straw_straight.jpg,b,straight
52,napkin,napkin_unfolded.jpg,b,unfolded
53,banana,banana_unpeeled.jpg,b,unpeeled
54,garbagecan,garbagecan_full.jpg,b,full
55,towel,towel_unfolded.jpg,b,unfolded
56,shoe,shoe_clean.jpg,b,clean
57,hands,hands_clean.jpg,b,clean
58,lock,lock_open.jpg,a,open
59,gate,gate_open.jpg,a,open
60,table,table_whole.jpg,b,whole
61,sweater,sweater_unfolded.jpg,b,unfolded
62,paper,paper_unfolded.jpg,b,unfolded
63,couch,couch_dirty.jpg,a,dirty
64,potato,potato_dirty.jpg,a,dirty
65,soccerball,soccerball_dirty.jpg,a,dirty
66,sweater,sweater_folded.jpg,a,folded
67,paper,paper_folded.jpg,a,folded
68,blanket,blanket_folded.jpg,a,folded
69,apple,apple_sliced.jpg,a,sliced
70,bread,bread_sliced.jpg,a,sliced
71,pineapple,pineapple_sliced.jpg,a,sliced
72,pickle,pickle_sliced.jpg,a,sliced
73,salami,salami_sliced.jpg,a,sliced
74,nail,nail_bent.jpg,a,bent
75,ladder,ladder_folded.jpg,a,folded
76,towel,towel_folded.jpg,a,folded
77,watermelon,watermelon_sliced.jpg,a,sliced
78,eggcarton,eggcarton_full.jpg,b,full
79,shoppingcart,shoppingcart_full.jpg,b,full
80,envelope,envelope_ripped.jpg,a,ripped
81,chain,chain_broken.jpg,a,broken
82,mirror,mirror_broken.jpg,a,broken
83,vase,vase_broken.jpg,a,broken
84,chocolatebar,chocolatebar_broken.jpg,a,broken
85,eggcarton,eggcarton_empty.jpg,a,empty
86,seatbelt,seatbelt_closed.jpg,b,closed
87,potato,potato_clean.jpg,b,clean
88,egg,egg_broken.jpg,a,broken
89,glasses,glasses_broken.jpg,a,broken
90,lime,lime_sliced.jpg,a,sliced
91,laptop,laptop_open.jpg,a,open
92,chapstick,chapstick_open.jpg,a,open
93,suitcase,suitcase_open.jpg,a,open
94,wallet,wallet_open.jpg,a,open
95,cdplayer,cdplayer_open.jpg,a,open
96,microwave,microwave_open.jpg,a,open
97,fence,fence_broken.jpg,a,broken
98,shoppingcart,shoppingcart_empty.jpg,a,empty
99,book,book_closed.jpg,b,closed
100,stapler,stapler_closed.jpg,b,closed
101,ladder,ladder_unfolded.jpg,b,unfolded
102,lawnchair,lawnchair_unfolded.jpg,b,unfolded
103,cracker,cracker_whole.jpg,b,whole
104,chain,chain_whole.jpg,b,whole
105,pizza,pizza_unsliced.jpg,b,unsliced
106,pot,pot_closed.jpg,b,closed
107,marker,marker_closed.jpg,b,closed
108,scissors,scissors_closed.jpg,b,closed
109,microwave,microwave_closed.jpg,b,closed
110,blanket,blanket_unfolded.jpg,b,unfolded
111,carrot,carrot_unpeeled.jpg,b,unpeeled
112,onion,onion_unpeeled.jpg,b,unpeeled
113,orange,orange_unpeeled.jpg,b,unpeeled
114,hands,hands_dirty.jpg,a,dirty
115,cup,cup_dirty.jpg,a,dirty
116,bucket,bucket_dirty.jpg,a,dirty
117,stovetop,stovetop_dirty.jpg,a,dirty
118,spoon,spoon_dirty.jpg,a,dirty
119,gloves,gloves_dirty.jpg,a,dirty
120,car,car_dirty.jpg,a,dirty
121,dish,dish_dirty.jpg,a,dirty
122,boot,boot_dirty.jpg,a,dirty
123,paperclip,paperclip_bent.jpg,a,bent
124,magnet,magnet_bent.jpg,a,bent
125,chapstick,chapstick_closed.jpg,b,closed
126,egg,egg_whole.jpg,b,whole
127,laptop,laptop_closed.jpg,b,closed
128,milkcarton,milkcarton_closed.jpg,b,closed
