,Unnamed: 0,object,image,state,adj,words_w2v
0,19,fridge,fridge_open.jpg,a,open,fridge
1,195,treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
2,272,glasses,glasses_whole.jpg,b,whole,glasses
3,215,paper,paper_unfolded.jpg,b,unfolded,paper
4,167,fridge,fridge_closed.jpg,b,closed,fridge
5,209,banana,banana_unpeeled.jpg,b,unpeeled,banana
6,72,lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
7,185,marker,marker_closed.jpg,b,closed,marker
8,152,milkcarton,milkcarton_closed.jpg,b,closed,milk carton
9,283,chain,chain_whole.jpg,b,whole,chain
10,2,seatbelt,seatbelt_open.jpg,a,open,seatbelt
11,163,stapler,stapler_closed.jpg,b,closed,stapler
12,99,car,car_dirty.jpg,a,dirty,car
13,146,wineglass,wineglass_empty.jpg,a,empty,wineglass
14,268,cookie,cookie_whole.jpg,b,whole,cookie
15,294,wineglass,wineglass_full.jpg,b,full,wineglass
16,120,cookie,cookie_broken.jpg,a,broken,cookie
17,182,chapstick,chapstick_closed.jpg,b,closed,chapstick
18,84,nail,nail_bent.jpg,a,bent,nail
19,135,chain,chain_broken.jpg,a,broken,chain
20,285,envelope,envelope_whole.jpg,b,whole,envelope
21,274,fence,fence_whole.jpg,b,whole,fence
22,143,garbagecan,garbagecan_empty.jpg,a,empty,garbage can
23,271,vase,vase_whole.jpg,b,whole,vase
24,156,can,can_closed.jpg,b,closed,can
25,151,book,book_closed.jpg,b,closed,book
26,138,naan,naan_ripped.jpg,a,ripped,naan
27,112,soccerball,soccerball_dirty.jpg,a,dirty,soccerball
28,51,kiwi,kiwi_sliced.jpg,a,sliced,kiwi
29,62,carrot,carrot_peeled.jpg,a,peeled,carrot
30,91,magnet,magnet_bent.jpg,a,bent,magnet
31,122,chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
32,144,hamper,hamper_empty.jpg,a,empty,hamper
33,121,cracker,cracker_broken.jpg,a,broken,cracker
34,184,laptop,laptop_closed.jpg,b,closed,laptop
35,129,cigarette,cigarette_broken.jpg,a,broken,cigarette
36,213,blanket,blanket_unfolded.jpg,b,unfolded,blanket
37,141,chipbag,chipbag_ripped.jpg,a,ripped,chip bag
38,79,straw,straw_bent.jpg,a,bent,straw
39,17,chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
40,292,hamper,hamper_full.jpg,b,full,hamper
41,16,door,door_open.jpg,a,open,door
42,279,piggybank,piggybank_whole.jpg,b,whole,piggybank
43,226,yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
44,239,magnet,magnet_straight.jpg,b,straight,magnet
45,43,eye,eye_open.jpg,a,open,eye
46,288,notepad,notepad_whole.jpg,b,whole,notepad
47,55,salami,salami_sliced.jpg,a,sliced,salami
48,177,wallet,wallet_closed.jpg,b,closed,wallet
49,263,pig,pig_clean.jpg,b,clean,pig
50,133,plate,plate_broken.jpg,a,broken,plate
51,262,couch,couch_clean.jpg,b,clean,couch
52,261,potato,potato_clean.jpg,b,clean,potato
53,232,nail,nail_straight.jpg,b,straight,nail
54,71,ladder,ladder_folded.jpg,a,folded,ladder
55,253,spoon,spoon_clean.jpg,b,clean,spoon
56,128,tire,tire_broken.jpg,a,broken,tire
57,64,onion,onion_peeled.jpg,a,peeled,onion
58,76,bill,bill_rolled.jpg,a,rolled,bill
59,277,cigarette,cigarette_whole.jpg,b,whole,cigarette
60,273,egg,egg_whole.jpg,b,whole,egg
61,96,staircase,staircase_curved.jpg,a,curved,staircase
62,246,dish,dish_clean.jpg,b,clean,dish
63,234,paperclip,paperclip_straight.jpg,b,straight,paperclip
64,223,rug,rug_unrolled.jpg,b,unrolled,rug
65,29,wallet,wallet_open.jpg,a,open,wallet
66,208,garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
67,275,mirror,mirror_whole.jpg,b,whole,mirror
68,247,car,car_clean.jpg,b,clean,car
69,198,pizza,pizza_unsliced.jpg,b,unsliced,pizza
70,178,suitcase,suitcase_closed.jpg,b,closed,suitcase
71,111,hands,hands_dirty.jpg,a,dirty,hands
72,206,apple,apple_unsliced.jpg,b,unsliced,apple
73,78,yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
74,227,straw,straw_straight.jpg,b,straight,straw
75,158,waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
76,229,waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
77,295,shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
78,199,kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
79,289,chipbag,chipbag_whole.jpg,b,whole,chip bag
80,286,naan,naan_whole.jpg,b,whole,naan
81,61,banana,banana_peeled.jpg,a,peeled,banana
82,150,seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
83,164,door,door_closed.jpg,b,closed,door
84,200,lime,lime_unsliced.jpg,b,unsliced,lime
