,Unnamed: 0,noun,utterance_x,image,state,adj,adj_utterance,natural_adj_utterance,item,natural_utterance,utterance_y,object,mean_response,count_response
0,0,apple,apple,apple_sliced.jpg,a,sliced,,,apple,apple,apple,apple_sliced.jpg,5.857142857142857,21.0
1,1,apple,apple,apple_unsliced.jpg,b,unsliced,,,apple,apple,apple,apple_unsliced.jpg,7.0,20.0
2,2,apple,apple,lighthouse.jpg,,,,,apple,apple,apple,lighthouse.jpg,1.0,10.0
3,3,apple,apple,pencilcase.jpg,,,,,apple,apple,apple,pencilcase.jpg,1.0,5.0
4,4,apple,apple,rhino.jpg,,,,,apple,apple,,,,
5,5,apple,sliced apple,apple_sliced.jpg,a,sliced,sliced,sliced,apple,sliced apple,sliced apple,apple_sliced.jpg,6.5,20.0
6,6,apple,sliced apple,apple_unsliced.jpg,b,unsliced,sliced,sliced,apple,sliced apple,sliced apple,apple_unsliced.jpg,2.0,21.0
7,7,apple,sliced apple,lighthouse.jpg,,,sliced,sliced,apple,sliced apple,sliced apple,lighthouse.jpg,1.0,4.0
8,8,apple,sliced apple,pencilcase.jpg,,,sliced,sliced,apple,sliced apple,sliced apple,pencilcase.jpg,1.0,5.0
9,9,apple,sliced apple,rhino.jpg,,,sliced,sliced,apple,sliced apple,sliced apple,rhino.jpg,1.0,6.0
10,10,apple,unsliced apple,apple_sliced.jpg,a,sliced,unsliced,whole,apple,whole apple,whole apple,apple_sliced.jpg,2.4761904761904763,21.0
11,11,apple,unsliced apple,apple_unsliced.jpg,b,unsliced,unsliced,whole,apple,whole apple,whole apple,apple_unsliced.jpg,6.904761904761905,21.0
12,12,apple,unsliced apple,lighthouse.jpg,,,unsliced,whole,apple,whole apple,,,,
13,13,apple,unsliced apple,pencilcase.jpg,,,unsliced,whole,apple,whole apple,whole apple,pencilcase.jpg,1.0,4.0
14,14,apple,unsliced apple,rhino.jpg,,,unsliced,whole,apple,whole apple,whole apple,rhino.jpg,1.0,8.0
15,15,backpack,backpack,backpack_open.jpg,a,open,,,backpack,backpack,backpack,backpack_open.jpg,6.476190476190476,21.0
16,16,backpack,backpack,backpack_closed.jpg,b,closed,,,backpack,backpack,backpack,backpack_closed.jpg,6.666666666666667,21.0
17,17,backpack,backpack,chick.jpg,,,,,backpack,backpack,backpack,chick.jpg,1.0,10.0
18,18,backpack,backpack,vacuum.jpg,,,,,backpack,backpack,backpack,vacuum.jpg,1.4,5.0
19,19,backpack,backpack,grater.jpg,,,,,backpack,backpack,,,,
20,20,backpack,closed backpack,backpack_open.jpg,a,open,closed,closed,backpack,closed backpack,closed backpack,backpack_open.jpg,2.0526315789473686,19.0
21,21,backpack,closed backpack,backpack_closed.jpg,b,closed,closed,closed,backpack,closed backpack,closed backpack,backpack_closed.jpg,6.523809523809524,21.0
22,22,backpack,closed backpack,chick.jpg,,,closed,closed,backpack,closed backpack,closed backpack,chick.jpg,1.0,4.0
23,23,backpack,closed backpack,vacuum.jpg,,,closed,closed,backpack,closed backpack,closed backpack,vacuum.jpg,1.0,5.0
24,24,backpack,closed backpack,grater.jpg,,,closed,closed,backpack,closed backpack,closed backpack,grater.jpg,1.0,6.0
25,25,backpack,open backpack,backpack_open.jpg,a,open,open,open,backpack,open backpack,open backpack,backpack_open.jpg,6.904761904761905,21.0
26,26,backpack,open backpack,backpack_closed.jpg,b,closed,open,open,backpack,open backpack,open backpack,backpack_closed.jpg,1.9523809523809523,21.0
27,27,backpack,open backpack,chick.jpg,,,open,open,backpack,open backpack,,,,
28,28,backpack,open backpack,vacuum.jpg,,,open,open,backpack,open backpack,open backpack,vacuum.jpg,1.0,4.0
29,29,backpack,open backpack,grater.jpg,,,open,open,backpack,open backpack,open backpack,grater.jpg,1.125,8.0
30,30,banana,banana,banana_peeled.jpg,a,peeled,,,banana,banana,banana,banana_peeled.jpg,6.55,20.0
31,31,banana,banana,banana_unpeeled.jpg,b,unpeeled,,,banana,banana,banana,banana_unpeeled.jpg,7.0,20.0
32,32,banana,banana,rake.jpg,,,,,banana,banana,banana,rake.jpg,1.0,11.0
33,33,banana,banana,calculator.jpg,,,,,banana,banana,banana,calculator.jpg,1.2,5.0
34,34,banana,banana,lavalamp.jpg,,,,,banana,banana,,,,
35,35,banana,peeled banana,banana_peeled.jpg,a,peeled,peeled,peeled,banana,peeled banana,peeled banana,banana_peeled.jpg,6.7,20.0
36,36,banana,peeled banana,banana_unpeeled.jpg,b,unpeeled,peeled,peeled,banana,peeled banana,peeled banana,banana_unpeeled.jpg,2.0,20.0
37,37,banana,peeled banana,rake.jpg,,,peeled,peeled,banana,peeled banana,peeled banana,rake.jpg,1.0,4.0
38,38,banana,peeled banana,calculator.jpg,,,peeled,peeled,banana,peeled banana,peeled banana,calculator.jpg,1.0,5.0
39,39,banana,peeled banana,lavalamp.jpg,,,peeled,peeled,banana,peeled banana,peeled banana,lavalamp.jpg,1.0,6.0
40,40,banana,unpeeled banana,banana_peeled.jpg,a,peeled,unpeeled,unpeeled,banana,unpeeled banana,unpeeled banana,banana_peeled.jpg,4.181818181818182,22.0
41,41,banana,unpeeled banana,banana_unpeeled.jpg,b,unpeeled,unpeeled,unpeeled,banana,unpeeled banana,unpeeled banana,banana_unpeeled.jpg,5.954545454545454,22.0
42,42,banana,unpeeled banana,rake.jpg,,,unpeeled,unpeeled,banana,unpeeled banana,,,,
43,43,banana,unpeeled banana,calculator.jpg,,,unpeeled,unpeeled,banana,unpeeled banana,unpeeled banana,calculator.jpg,1.0,5.0
44,44,banana,unpeeled banana,lavalamp.jpg,,,unpeeled,unpeeled,banana,unpeeled banana,unpeeled banana,lavalamp.jpg,1.0,7.0
45,45,bill,bill,bill_rolled.jpg,a,rolled,,,bill,bill,bill,bill_rolled.jpg,5.714285714285714,21.0
46,46,bill,bill,bill_unrolled.jpg,b,unrolled,,,bill,bill,bill,bill_unrolled.jpg,6.473684210526316,19.0
47,47,bill,bill,snowglobe.jpg,,,,,bill,bill,bill,snowglobe.jpg,1.0,11.0
48,48,bill,bill,picnictable.jpg,,,,,bill,bill,bill,picnictable.jpg,1.0,5.0
49,49,bill,bill,coatrack.jpg,,,,,bill,bill,,,,
50,50,bill,rolled bill,bill_rolled.jpg,a,rolled,rolled,rolled,bill,rolled bill,rolled bill,bill_rolled.jpg,6.578947368421052,19.0
51,51,bill,rolled bill,bill_unrolled.jpg,b,unrolled,rolled,rolled,bill,rolled bill,rolled bill,bill_unrolled.jpg,1.736842105263158,19.0
52,52,bill,rolled bill,snowglobe.jpg,,,rolled,rolled,bill,rolled bill,rolled bill,snowglobe.jpg,1.0,2.0
53,53,bill,rolled bill,picnictable.jpg,,,rolled,rolled,bill,rolled bill,rolled bill,picnictable.jpg,1.0,5.0
54,54,bill,rolled bill,coatrack.jpg,,,rolled,rolled,bill,rolled bill,rolled bill,coatrack.jpg,1.0,6.0
55,55,bill,unrolled bill,bill_rolled.jpg,a,rolled,unrolled,flat,bill,flat bill,flat bill,bill_rolled.jpg,1.894736842105263,19.0
56,56,bill,unrolled bill,bill_unrolled.jpg,b,unrolled,unrolled,flat,bill,flat bill,flat bill,bill_unrolled.jpg,6.8,20.0
57,57,bill,unrolled bill,snowglobe.jpg,,,unrolled,flat,bill,flat bill,,,,
58,58,bill,unrolled bill,picnictable.jpg,,,unrolled,flat,bill,flat bill,flat bill,picnictable.jpg,1.0,4.0
59,59,bill,unrolled bill,coatrack.jpg,,,unrolled,flat,bill,flat bill,flat bill,coatrack.jpg,1.0,8.0
60,60,blanket,blanket,blanket_folded.jpg,a,folded,,,blanket,blanket,blanket,blanket_folded.jpg,6.0476190476190474,21.0
61,61,blanket,blanket,blanket_unfolded.jpg,b,unfolded,,,blanket,blanket,blanket,blanket_unfolded.jpg,5.7894736842105265,19.0
62,62,blanket,blanket,elephant.jpg,,,,,blanket,blanket,blanket,elephant.jpg,1.0909090909090908,11.0
63,63,blanket,blanket,pingpongpaddle.jpg,,,,,blanket,blanket,blanket,pingpongpaddle.jpg,1.0,5.0
64,64,blanket,blanket,camera.jpg,,,,,blanket,blanket,,,,
65,65,blanket,folded blanket,blanket_folded.jpg,a,folded,folded,folded,blanket,folded blanket,folded blanket,blanket_folded.jpg,6.052631578947368,19.0
66,66,blanket,folded blanket,blanket_unfolded.jpg,b,unfolded,folded,folded,blanket,folded blanket,folded blanket,blanket_unfolded.jpg,3.1904761904761907,21.0
67,67,blanket,folded blanket,elephant.jpg,,,folded,folded,blanket,folded blanket,folded blanket,elephant.jpg,1.0,2.0
68,68,blanket,folded blanket,pingpongpaddle.jpg,,,folded,folded,blanket,folded blanket,folded blanket,pingpongpaddle.jpg,1.0,5.0
69,69,blanket,folded blanket,camera.jpg,,,folded,folded,blanket,folded blanket,folded blanket,camera.jpg,1.0,6.0
70,70,blanket,unfolded blanket,blanket_folded.jpg,a,folded,unfolded,spead-out,blanket,spead-out blanket,spead-out blanket,blanket_folded.jpg,2.1578947368421053,19.0
71,71,blanket,unfolded blanket,blanket_unfolded.jpg,b,unfolded,unfolded,spead-out,blanket,spead-out blanket,spead-out blanket,blanket_unfolded.jpg,5.7894736842105265,19.0
72,72,blanket,unfolded blanket,elephant.jpg,,,unfolded,spead-out,blanket,spead-out blanket,,,,
73,73,blanket,unfolded blanket,pingpongpaddle.jpg,,,unfolded,spead-out,blanket,spead-out blanket,spead-out blanket,pingpongpaddle.jpg,1.0,4.0
74,74,blanket,unfolded blanket,camera.jpg,,,unfolded,spead-out,blanket,spead-out blanket,spead-out blanket,camera.jpg,1.0,6.0
75,75,book,book,book_open.jpg,a,open,,,book,book,book,book_open.jpg,6.3,20.0
76,76,book,book,book_closed.jpg,b,closed,,,book,book,book,book_closed.jpg,6.157894736842105,19.0
77,77,book,book,faucet.jpg,,,,,book,book,book,faucet.jpg,1.0,10.0
78,78,book,book,wreath.jpg,,,,,book,book,book,wreath.jpg,1.0,5.0
79,79,book,book,scooter.jpg,,,,,book,book,,,,
80,80,book,closed book,book_open.jpg,a,open,closed,closed,book,closed book,closed book,book_open.jpg,2.05,20.0
81,81,book,closed book,book_closed.jpg,b,closed,closed,closed,book,closed book,closed book,book_closed.jpg,6.631578947368421,19.0
82,82,book,closed book,faucet.jpg,,,closed,closed,book,closed book,closed book,faucet.jpg,1.0,4.0
83,83,book,closed book,wreath.jpg,,,closed,closed,book,closed book,closed book,wreath.jpg,1.0,5.0
84,84,book,closed book,scooter.jpg,,,closed,closed,book,closed book,closed book,scooter.jpg,1.0,6.0
85,85,book,open book,book_open.jpg,a,open,open,open,book,open book,open book,book_open.jpg,6.631578947368421,19.0
86,86,book,open book,book_closed.jpg,b,closed,open,open,book,open book,open book,book_closed.jpg,1.9444444444444444,18.0
87,87,book,open book,faucet.jpg,,,open,open,book,open book,,,,
88,88,book,open book,wreath.jpg,,,open,open,book,open book,open book,wreath.jpg,1.0,4.0
89,89,book,open book,scooter.jpg,,,open,open,book,open book,open book,scooter.jpg,1.0,7.0
90,90,boot,boot,boot_dirty.jpg,a,dirty,,,boot,boot,boot,boot_dirty.jpg,6.181818181818182,22.0
91,91,boot,boot,boot_clean.jpg,b,clean,,,boot,boot,boot,boot_clean.jpg,6.545454545454546,22.0
92,92,boot,boot,measuringtape.jpg,,,,,boot,boot,boot,measuringtape.jpg,1.0,10.0
