,trial_id,State_1,$images_1,overspec_n,overspec_n_singleton,overspec_n_pair,noun,total_n,singleton_total_n,pair_total_n
0,3,state_A,seatbelt_open.jpg,1,1,0,seatbelt,15,7,8.0
1,3,state_B,seatbelt_closed.jpg,0,0,0,seatbelt,16,8,8.0
2,4,state_A,book_open.jpg,1,1,0,book,15,8,7.0
3,4,state_B,book_closed.jpg,0,0,0,book,16,8,8.0
4,5,state_A,milkcarton_open.jpg,1,1,0,milkcarton,15,8,7.0
5,5,state_B,milkcarton_closed.jpg,0,0,0,milkcarton,16,8,8.0
6,9,state_A,can_open.jpg,5,4,1,can,16,8,8.0
7,9,state_B,can_closed.jpg,0,0,0,can,15,7,8.0
8,10,state_A,backpack_open.jpg,3,3,0,backpack,15,8,7.0
9,10,state_B,backpack_closed.jpg,0,0,0,backpack,16,8,8.0
10,11,state_A,waterbottle_open.jpg,1,1,0,waterbottle,14,7,7.0
11,11,state_B,waterbottle_closed.jpg,0,0,0,waterbottle,16,8,8.0
12,12,state_A,cabinet_open.jpg,1,1,0,cabinet,14,8,6.0
13,12,state_B,cabinet_closed.jpg,0,0,0,cabinet,11,5,6.0
14,14,state_A,dishwasher_open.jpg,1,1,0,dishwasher,13,7,6.0
15,14,state_B,dishwasher_closed.jpg,0,0,0,dishwasher,11,5,6.0
16,16,state_A,stapler_open.jpg,3,1,2,stapler,16,8,8.0
17,16,state_B,stapler_closed.jpg,0,0,0,stapler,16,8,8.0
18,17,state_A,door_open.jpg,4,2,2,door,16,8,8.0
19,17,state_B,door_closed.jpg,0,0,0,door,16,8,8.0
20,18,state_A,chestofdrawers_open.jpg,2,2,0,chestofdrawers,15,7,8.0
21,18,state_B,chestofdrawers_closed.jpg,0,0,0,chestofdrawers,15,7,8.0
22,19,state_A,filefolder_open.jpg,1,1,0,filefolder,16,8,8.0
23,19,state_B,filefolder_closed.jpg,0,0,0,filefolder,16,8,8.0
24,20,state_A,fridge_open.jpg,3,1,2,fridge,16,8,8.0
25,20,state_B,fridge_closed.jpg,0,0,0,fridge,15,7,8.0
26,22,state_A,juicebottle_open.jpg,2,2,0,juicebottle,15,7,8.0
