,trial_id,State_1,$images_1,noun,overspec_n,overspec_n_singleton,overspec_n_pair,total_n,singleton_total_n,pair_total_n
0,3,state_A,seatbelt_open.jpg,seatbelt,1,1,0,15,7,8.0
1,3,state_B,seatbelt_closed.jpg,seatbelt,0,0,0,16,8,8.0
2,4,state_A,book_open.jpg,book,1,1,0,15,8,7.0
3,4,state_B,book_closed.jpg,book,0,0,0,16,8,8.0
4,5,state_A,milkcarton_open.jpg,milkcarton,1,1,0,15,8,7.0
5,5,state_B,milkcarton_closed.jpg,milkcarton,0,0,0,16,8,8.0
6,9,state_A,can_open.jpg,can,5,4,1,16,8,8.0
7,9,state_B,can_closed.jpg,can,0,0,0,15,7,8.0
8,10,state_A,backpack_open.jpg,backpack,3,3,0,15,8,7.0
9,10,state_B,backpack_closed.jpg,backpack,0,0,0,16,8,8.0
10,11,state_A,waterbottle_open.jpg,waterbottle,1,1,0,14,7,7.0
11,11,state_B,waterbottle_closed.jpg,waterbottle,0,0,0,16,8,8.0
12,12,state_A,cabinet_open.jpg,cabinet,1,1,0,14,8,6.0
13,12,state_B,cabinet_closed.jpg,cabinet,0,0,0,11,5,6.0
14,14,state_A,dishwasher_open.jpg,dishwasher,1,1,0,13,7,6.0
15,14,state_B,dishwasher_closed.jpg,dishwasher,0,0,0,11,5,6.0
16,16,state_A,stapler_open.jpg,stapler,3,1,2,16,8,8.0
17,16,state_B,stapler_closed.jpg,stapler,0,0,0,16,8,8.0
18,17,state_A,door_open.jpg,door,5,3,2,16,8,8.0
19,17,state_B,door_closed.jpg,door,0,0,0,16,8,8.0
20,18,state_A,chestofdrawers_open.jpg,chestofdrawers,2,2,0,15,7,8.0
21,18,state_B,chestofdrawers_closed.jpg,chestofdrawers,0,0,0,15,7,8.0
22,19,state_A,filefolder_open.jpg,filefolder,1,1,0,16,8,8.0
23,19,state_B,filefolder_closed.jpg,filefolder,0,0,0,16,8,8.0
24,20,state_A,fridge_open.jpg,fridge,3,1,2,16,8,8.0
25,20,state_B,fridge_closed.jpg,fridge,0,0,0,15,7,8.0
26,22,state_A,juicebottle_open.jpg,juicebottle,2,2,0,15,7,8.0
27,22,state_B,juicebottle_closed.jpg,juicebottle,0,0,0,16,8,8.0
28,23,state_A,gate_open.jpg,gate,3,3,0,15,8,7.0
29,23,state_B,gate_closed.jpg,gate,0,0,0,16,8,8.0
30,24,state_A,lock_open.jpg,lock,4,2,2,16,8,8.0
31,24,state_B,lock_closed.jpg,lock,0,0,0,16,8,8.0
32,27,state_A,microwave_open.jpg,microwave,1,1,0,16,8,8.0
33,27,state_B,microwave_closed.jpg,microwave,0,0,0,16,8,8.0
34,28,state_A,cdplayer_open.jpg,cdplayer,1,1,0,15,8,7.0
35,28,state_B,cdplayer_closed.jpg,cdplayer,0,0,0,12,5,7.0
36,30,state_A,wallet_open.jpg,wallet,2,1,1,16,8,8.0
37,30,state_B,wallet_closed.jpg,wallet,0,0,0,9,5,4.0
38,31,state_A,suitcase_open.jpg,suitcase,2,2,0,11,8,3.0
39,31,state_B,suitcase_closed.jpg,suitcase,0,0,0,10,5,5.0
40,35,state_A,chapstick_open.jpg,chapstick,1,1,0,16,8,8.0
41,35,state_B,chapstick_closed.jpg,chapstick,0,0,0,14,7,7.0
42,37,state_A,laptop_open.jpg,laptop,0,0,0,16,8,8.0
43,37,state_B,laptop_closed.jpg,laptop,1,1,0,15,8,7.0
44,38,state_A,marker_open.jpg,marker,1,1,0,16,8,8.0
45,38,state_B,marker_closed.jpg,marker,0,0,0,15,8,7.0
46,40,state_A,scissors_open.jpg,scissors,1,0,1,16,8,8.0
47,40,state_B,scissors_closed.jpg,scissors,0,0,0,16,8,8.0
48,44,state_A,eye_open.jpg,eye,0,0,0,16,8,8.0
49,44,state_B,eye_closed.jpg,eye,3,1,2,10,4,6.0
50,48,state_A,treasurechest_open.jpg,treasurechest,2,2,0,15,7,8.0
51,48,state_B,treasurechest_closed.jpg,treasurechest,0,0,0,14,8,6.0
52,50,state_A,pot_open.jpg,pot,4,2,2,16,8,8.0
53,50,state_B,pot_closed.jpg,pot,0,0,0,16,8,8.0
54,51,state_A,pizza_sliced.jpg,pizza,3,3,0,16,8,8.0
55,51,state_B,pizza_unsliced.jpg,pizza,0,0,0,15,8,7.0
56,52,state_A,kiwi_sliced.jpg,kiwi,9,4,5,14,7,7.0
57,52,state_B,kiwi_unsliced.jpg,kiwi,0,0,0,15,8,7.0
58,53,state_A,lime_sliced.jpg,lime,4,1,3,16,8,8.0
59,53,state_B,lime_unsliced.jpg,lime,0,0,0,14,7,7.0
60,54,state_A,pickle_sliced.jpg,pickle,11,6,5,15,8,7.0
61,54,state_B,pickle_unsliced.jpg,pickle,0,0,0,16,8,8.0
62,55,state_A,watermelon_sliced.jpg,watermelon,8,4,4,16,8,8.0
63,55,state_B,watermelon_unsliced.jpg,watermelon,0,0,0,16,8,8.0
64,56,state_A,salami_sliced.jpg,salami,7,3,4,15,8,7.0
65,56,state_B,salami_unsliced.jpg,salami,0,0,0,16,8,8.0
66,57,state_A,pineapple_sliced.jpg,pineapple,4,1,3,16,8,8.0
67,57,state_B,pineapple_unsliced.jpg,pineapple,0,0,0,16,8,8.0
68,58,state_A,bread_sliced.jpg,bread,8,7,1,16,8,8.0
69,58,state_B,bread_unsliced.jpg,bread,0,0,0,16,8,8.0
70,59,state_A,apple_sliced.jpg,apple,9,4,5,16,8,8.0
71,59,state_B,apple_unsliced.jpg,apple,0,0,0,16,8,8.0
72,61,state_A,garlic_peeled.jpg,garlic,2,1,1,16,8,8.0
73,61,state_B,garlic_unpeeled.jpg,garlic,0,0,0,15,7,8.0
74,62,state_A,banana_peeled.jpg,banana,8,5,3,16,8,8.0
75,62,state_B,banana_unpeeled.jpg,banana,0,0,0,16,8,8.0
76,63,state_A,carrot_peeled.jpg,carrot,1,0,1,15,7,8.0
77,63,state_B,carrot_unpeeled.jpg,carrot,0,0,0,16,8,8.0
78,64,state_A,orange_peeled.jpg,orange,7,2,5,15,7,8.0
79,64,state_B,orange_unpeeled.jpg,orange,0,0,0,16,8,8.0
80,65,state_A,onion_peeled.jpg,onion,3,2,1,16,8,8.0
81,65,state_B,onion_unpeeled.jpg,onion,0,0,0,15,7,8.0
82,66,state_A,blanket_folded.jpg,blanket,2,1,1,7,2,5.0
83,66,state_B,blanket_unfolded.jpg,blanket,0,0,0,15,8,7.0
84,68,state_A,paper_folded.jpg,paper,3,1,2,15,7,8.0
85,68,state_B,paper_unfolded.jpg,paper,0,0,0,16,8,8.0
86,69,state_A,sweater_folded.jpg,sweater,2,0,2,15,7,8.0
87,69,state_B,sweater_unfolded.jpg,sweater,0,0,0,16,8,8.0
88,70,state_A,napkin_folded.jpg,napkin,6,5,1,15,8,7.0
89,70,state_B,napkin_unfolded.jpg,napkin,1,1,0,12,8,4.0
90,71,state_A,towel_folded.jpg,towel,2,2,0,16,8,8.0
91,71,state_B,towel_unfolded.jpg,towel,1,1,0,16,8,8.0
92,72,state_A,ladder_folded.jpg,ladder,3,2,1,16,8,8.0
93,72,state_B,ladder_unfolded.jpg,ladder,0,0,0,15,8,7.0
94,73,state_A,lawnchair_folded.jpg,lawnchair,12,6,6,15,8,7.0
95,73,state_B,lawnchair_unfolded.jpg,lawnchair,2,1,1,16,8,8.0
96,75,state_A,shoelace_tied.jpg,shoelace,3,2,1,15,8,7.0
97,75,state_B,shoelace_untied.jpg,shoelace,0,0,0,15,7,8.0
98,76,state_A,rug_rolled.jpg,rug,9,3,6,14,6,8.0
99,76,state_B,rug_unrolled.jpg,rug,0,0,0,14,7,7.0
100,77,state_A,bill_rolled.jpg,bill,4,2,2,16,8,8.0
101,77,state_B,bill_unrolled.jpg,bill,0,0,0,16,8,8.0
102,78,state_A,sleepingbag_rolled.jpg,sleepingbag,7,4,3,15,7,8.0
103,78,state_B,sleepingbag_unrolled.jpg,sleepingbag,0,0,0,16,8,8.0
104,79,state_A,yogamat_rolled.jpg,yogamat,1,1,0,15,8,7.0
105,79,state_B,yogamat_unrolled.jpg,yogamat,0,0,0,10,6,4.0
106,80,state_A,straw_bent.jpg,straw,2,1,1,14,7,7.0
107,80,state_B,straw_straight.jpg,straw,0,0,0,13,6,7.0
108,82,state_A,waterpipe_bent.jpg,waterpipe,1,1,0,15,7,8.0
109,82,state_B,waterpipe_straight.jpg,waterpipe,0,0,0,5,3,2.0
110,84,state_A,safetypin_bent.jpg,safetypin,5,2,3,9,5,4.0
111,84,state_B,safetypin_straight.jpg,safetypin,0,0,0,13,8,5.0
112,85,state_A,nail_bent.jpg,nail,9,5,4,14,8,6.0
113,85,state_B,nail_straight.jpg,nail,0,0,0,14,7,7.0
114,87,state_A,paperclip_bent.jpg,paperclip,6,4,2,15,7,8.0
115,87,state_B,paperclip_straight.jpg,paperclip,0,0,0,15,8,7.0
116,92,state_A,magnet_bent.jpg,magnet,1,0,1,14,8,6.0
117,92,state_B,magnet_straight.jpg,magnet,0,0,0,15,7,8.0
118,94,state_A,road_curved.jpg,road,5,3,2,16,8,8.0
119,94,state_B,road_straight.jpg,road,0,0,0,16,8,8.0
120,97,state_A,staircase_curved.jpg,staircase,1,0,1,16,8,8.0
121,97,state_B,staircase_straight.jpg,staircase,0,0,0,14,8,6.0
122,98,state_A,boot_dirty.jpg,boot,6,5,1,16,8,8.0
123,98,state_B,boot_clean.jpg,boot,0,0,0,16,8,8.0
124,99,state_A,dish_dirty.jpg,dish,7,4,3,16,8,8.0
125,99,state_B,dish_clean.jpg,dish,1,1,0,14,6,8.0
126,100,state_A,car_dirty.jpg,car,5,3,2,16,8,8.0
127,100,state_B,car_clean.jpg,car,0,0,0,16,8,8.0
128,104,state_A,gloves_dirty.jpg,gloves,7,3,4,16,8,8.0
129,104,state_B,gloves_clean.jpg,gloves,0,0,0,16,8,8.0
130,106,state_A,spoon_dirty.jpg,spoon,7,3,4,15,7,8.0
131,106,state_B,spoon_clean.jpg,spoon,0,0,0,16,8,8.0
132,108,state_A,stovetop_dirty.jpg,stovetop,8,3,5,16,8,8.0
